[21:34:53]	INFO    | Creating GLFW Window
[21:35:00]	SUCCESS | > Opened file "Assets/boss/GUI2L.mtl"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Loaded MTL file : "Assets/boss/GUI2L.mtl"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Loaded texture "Assets/Weapon/T_GunBody01__albedo.jpg"
[21:35:00]	-------	|
[21:35:01]	SUCCESS | > Loaded texture "Assets/Container/LP_DefaultMaterial_BaseColor.png"
[21:35:01]	-------	|
[21:35:01]	SUCCESS | > Loaded texture "Assets/R2/R2Tex.jpg"
[21:35:01]	-------	|
[21:35:01]	SUCCESS | > Loaded texture "Assets/boss/Cyclops_Texture.png"
[21:35:01]	-------	|
[21:35:01]	SUCCESS | > Loaded texture "Assets/boss/sci_fi_panel_diffuse.png"
[21:35:01]	-------	|
[21:35:01]	SUCCESS | > Loaded texture "Assets/boss/NOE.png"
[21:35:01]	-------	|
[21:35:01]	SUCCESS | > Loaded texture "Assets/boss/LANCELOT.png"
[21:35:01]	-------	|
[21:35:01]	SUCCESS | > Loaded texture "Assets/boss/RAYANNE.png"
[21:35:01]	-------	|
[21:35:01]	SUCCESS | > Loaded texture "Assets/boss/GUI2L.png"
[21:35:01]	-------	|
[21:35:04]	SUCCESS | > Loaded OBJ file : "Assets/boss/Cyclops.obj"
[21:35:04]	-------	|
[21:35:06]	SUCCESS | > Loaded OBJ file : "Assets/R2/R2.obj"
[21:35:06]	-------	|
[21:36:49]	INFO    | Unloading a scene
[21:36:49]	-------	|
[21:36:49]	INFO    | > Unloading scene
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : GUI2L
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : RAYANNE
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : LANCELOT
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : NOE
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Vent2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Vent1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Vent0
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : CyclopGFX2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Boss2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : CyclopGFX1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Boss1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : CyclopGFX0
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Boss0
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX14
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy14
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX13
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy13
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX12
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy12
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX11
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy11
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX10
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy10
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX9
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy9
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX8
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy8
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX7
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy7
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX6
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy6
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX5
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy5
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX4
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy4
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX3
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy3
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX0
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy0
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : EnemyGFX
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Enemy
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Container_12
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Container_11
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Container_10
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Container_9
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Container_8
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Container_7
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Container_6
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Container_5
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Container_4
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Container_3
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Container_2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Container_1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Container_0
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Menu
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Button_03
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Button_02
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Button_01
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Light_08
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Light_07
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Light_06
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Light_05
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Light_04
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Light_03
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Light_02
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Light_01
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Sun_Light_02
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Sun_Light_01
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : AmmoHUD
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : LifeHUD
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Reticule
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : GunBody01.002_Mesh.004
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Rifle
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Main_Camera
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : PlayerCameraPivot
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : PlayerGFX
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : Player
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : AmmoBoxE3
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : AmmoBox3
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : AmmoBoxE2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : AmmoBox2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : AmmoBoxE1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : AmmoBox1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : AmmoBoxE
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : AmmoBox
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Damage_3
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Damage_2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Damage_1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Damage_0
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Brick_8
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Brick_7
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Brick_6
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Brick_5
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Brick_4
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Brick_3
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Brick_2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Brick_1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Brick_0
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Floor_3
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Floor_2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Floor_1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Floor_0
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Floor_Ramp_5
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Floor_Ramp_4
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Floor_Ramp_3
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Floor_Ramp_2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Floor_Ramp_1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Floor_Ramp_0
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Fabric_5
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Fabric_2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Fabric_1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Fabric_0
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Plate_6
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Plate_5
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Plate_4
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Plate_2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Plate_1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Plate_0
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Ground_5
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Ground_4
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Ground_3
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Ground_2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Ground_1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : SCIFI_Ground_0
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : StoneWall_2
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : StoneWall_1
[21:36:49]	-------	|
[21:36:49]	INFO    | -	 Destroying Object : DirtBlock
[21:36:49]	-------	|
[21:36:50]	INFO    | - Destroying Graph
[21:36:50]	-------	|
[21:36:50]	INFO    | > Unloading scene
[21:36:50]	-------	|
[21:36:50]	INFO    | -	 Destroying Object : Button_04
[21:36:50]	-------	|
[21:36:50]	INFO    | -	 Destroying Object : Button_03
[21:36:50]	-------	|
[21:36:50]	INFO    | -	 Destroying Object : Button_02
[21:36:50]	-------	|
[21:36:50]	INFO    | -	 Destroying Object : Button_01
[21:36:50]	-------	|
[21:36:50]	INFO    | Closing program...
[21:36:50]	-------	|
